週,投稿数,平均いいね,バズ数,Gemini使用量,YouTube使用量
2026年W17,0,0.0,0,確認中,確認中
2026年W18,4,0.0,0,確認中,確認中
2026年W19,6,0.0,0,確認中,確認中
2026年W20,5,0.0,0,確認中,確認中
2026年W21,6,0.0,0,確認中,確認中
2026年W22,6,0.0,0,確認中,確認中
2026年W23,3,0.0,0,確認中,確認中
2026年W24,6,0.0,0,確認中,確認中
2026年W25,6,0.0,0,確認中,確認中
2026年W26,5,0.0,0,確認中,確認中
2026年W27,4,0.0,0,確認中,確認中
2026年W28,6,0.0,0,確認中,確認中
2026年W29,5,0.0,0,確認中,確認中
2026年W30,5,0.0,0,確認中,確認中
2026年W31,6,0.0,0,確認中,確認中
2026年W32,5,0.0,0,確認中,確認中
2026年W33,6,0.0,0,確認中,確認中
2026年W34,6,0.0,0,確認中,確認中
